NM_PARLA,COD_PARLA,STATE,PARTY,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1
CHRISTIANE DE SOUZA YARED,442,Paraná,PR,196,32,40,184,0.662260056,0.840707965,0.100772761,-0.161646336,0,0,0
CHRISTIANE DE SOUZA YARED,442,Paraná,PTN,119,34,31,103,0.630489409,0.773519164,0.097705632,0.293545991,0,0,0
CIDINHO SANTOS,924,Mato Grosso,PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIDINHO SANTOS,924,Mato Grosso,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIRO NOGUEIRA,811,Piauí,PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLARISSA GAROTINHO,294,Rio de Janeiro,PR,111,38,48,94,0.549479008,0.704467354,0.140938506,0.494341522,0,0,0
CLARISSA GAROTINHO,294,Rio de Janeiro,PRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLARISSA GAROTINHO,294,Rio de Janeiro,PROS,32,10,12,24,0.573996842,0.717948718,-0.301136017,-0.953581214,0,0,0
CLAUDIO CAJADO,186,Bahia,DEM,192,21,21,177,0.798079014,0.897810219,0.682896256,-0.228590995,0,0,0
CLAUDIO CAJADO,186,Bahia,PP,38,0,1,42,0.935234487,0.987654321,0.74420464,-0.160000935,0,0,0
CLEBER VERDE,70,Maranhão,PRB,304,35,22,232,0.79121995,0.903878583,0.276497215,-0.64425379,0,0,0
CONCEIÇÃO SAMPAIO,41,Amazonas,PP,323,56,52,259,0.712296724,0.843478261,0.245804191,-0.002222428,0,0,0
CONCEIÇÃO SAMPAIO,41,Amazonas,PSDB,34,7,5,35,0.726858437,0.851851852,0.124753088,-0.497415155,0,0,0
COVATTI FILHO,493,Rio Grande do Sul,PP,297,65,52,265,0.635602295,0.827687776,0.516339004,0.220240235,0,0,0
CREUZA PEREIRA,571,Pernambuco,PSB,85,18,13,97,0.694643259,0.854460094,0.020238874,0.078794859,0,0,0
CRISTIANE BRASIL,296,Rio de Janeiro,PTB,183,19,11,144,0.790792763,0.915966387,0.691510856,-0.00676283,0,0,0
CRISTOVAM BUARQUE,851,Distrito Federal,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRISTOVAM BUARQUE,851,Distrito Federal,PPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CÁSSIO CUNHA LIMA,938,Paraíba,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CÉLIO SILVEIRA,417,Goiás,PSDB,359,30,27,332,0.81675303,0.923796791,0.792595267,0.335366338,0,0,0
CÉSAR HALUM,64,Tocantins,PRB,231,43,22,159,0.715620339,0.857142857,0.305559516,-0.503417134,0,0,0
CÉSAR MESSIAS,55,Acre,PSB,147,48,95,257,0.552380264,0.73857404,-0.016143231,0.991959512,0,0,0
CÍCERO ALMEIDA,165,Alagoas,PHS,44,7,3,35,0.759609103,0.887640449,0.174901083,-0.026069868,0,0,0
CÍCERO ALMEIDA,165,Alagoas,PMDB,62,7,4,53,0.78467983,0.912698413,0.264723778,-0.317638278,0,0,0
CÍCERO ALMEIDA,165,Alagoas,PODE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CÍCERO ALMEIDA,165,Alagoas,PRTB,101,25,20,60,0.635519385,0.781553398,0.285371482,-0.027843388,0,0,0
CÍCERO ALMEIDA,165,Alagoas,PSD,21,5,2,29,0.715373218,0.877192982,0.19710733,-0.010956742,0,0,0
CÍCERO ALMEIDA,165,Alagoas,Podemos,37,11,9,40,0.655220985,0.793814433,0.339141726,-0.13422215,0,0,0
DAGOBERTO,434,Mato Grosso do Sul,PDT,159,29,47,163,0.674001992,0.809045226,-0.175734371,0.24544096,0,0,0
DAGOBERTO NOGUEIRA,434,Mato Grosso do Sul,PDT,63,8,24,160,0.761924922,0.874509804,-0.210082337,0.186892614,0,0,0
DALÍRIO BEBER,946,Santa Catarina,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAMIÃO FELICIANO,127,Paraíba,PDT,165,36,53,246,0.689707279,0.822,-0.183914945,0.230218723,0,0,0
DANIEL ALMEIDA,188,Bahia,PCdoB,214,29,29,374,0.793914497,0.910216718,-0.543820262,0.34249419,0,0,0
DANIEL COELHO,144,Pernambuco,PPS,41,6,6,39,0.69348675,0.869565217,0.336287439,0.063549794,0,0,0
DANIEL COELHO,144,Pernambuco,PSDB,269,40,40,286,0.728083014,0.874015748,0.589558363,0.807725668,0,0,0
DANIEL VILELA,420,Goiás,MDB,16,0,1,19,0.904215574,0.972222222,0.792445302,-0.047483355,0,0,0
DANIEL VILELA,420,Goiás,PMDB,276,40,27,178,0.733091712,0.871401152,0.209107235,-0.680123866,0,0,0
DANILO CABRAL,148,Pernambuco,PSB,97,28,99,207,0.545309007,0.705336427,-0.258893639,-0.073988482,0,0,0
DANILO FORTE,95,Ceará,DEM,15,1,1,20,0.880152047,0.945945946,0.955485225,-0.295039028,0,0,0
DANILO FORTE,95,Ceará,PMDB,85,16,8,56,0.68750906,0.854545455,0.391959101,-0.116701782,0,0,0
DANILO FORTE,95,Ceará,PSB,157,11,14,134,0.80516398,0.920886076,0.534123063,0.189679861,0,0,0
DANILO FORTE,95,Ceará,PSDB,33,2,1,31,0.923188448,0.955223881,0.821494579,0.162424952,0,0,0
DANILO FORTE,95,Ceará,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DANRLEI DE DEUS HINTERHOLZ,495,Rio Grande do Sul,PSD,251,59,73,187,0.570885718,0.768421053,0.140005648,-0.11443828,0,0,0
DARCÍSIO PERONDI,491,Rio Grande do Sul,MDB,24,3,4,28,0.727589548,0.881355932,0.425290793,-0.255299985,0,0,0
DARCÍSIO PERONDI,491,Rio Grande do Sul,PMDB,285,63,34,224,0.686677098,0.839933993,0.340771466,-0.209502816,0,0,0
DAVI ALCOLUMBRE,834,Amapá,DEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAVI ALVES SILVA JÚNIOR,579,Maranhão,PR,80,0,0,46,0.964969814,1,0.677849889,-0.735200405,0,0,0
DAVIDSON MAGALHÃES,525,Bahia,PCdoB,178,20,19,282,0.79308033,0.921843687,-0.591108382,0.380915344,0,0,0
DECA,929,Paraíba,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEJORGE PATRÍCIO,594,Rio de Janeiro,PRB,68,18,16,70,0.683673501,0.802325581,0.192915633,-0.041422557,0,0,0
DELCÍDIO DO AMARAL,853,Mato Grosso do Sul,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELEGADO EDSON MOREIRA,229,Minas Gerais,PR,249,29,12,232,0.803860545,0.921455939,0.401772857,-0.320602,0,0,0
DELEGADO EDSON MOREIRA,229,Minas Gerais,PTN,136,32,7,105,0.669543564,0.860714286,0.043508302,-0.627196789,0,0,0
DELEGADO FRANCISCHINI,450,Paraná,PSL,20,2,1,28,0.859295785,0.941176471,0.318837345,0.229760945,0,0,0
DELEGADO FRANCISCHINI,450,Paraná,Solidaried,72,11,10,73,0.729186714,0.873493976,0.164811254,0.119729675,0,0,0
DELEGADO WALDIR,421,Goiás,PR,120,50,58,109,0.478260934,0.679525223,0.007057222,-0.142477483,0,0,0
DELEGADO WALDIR,421,Goiás,PSDB,102,14,11,107,0.797151446,0.893162393,0.868055701,0.496466964,0,0,0
DELEGADO WALDIR,421,Goiás,PSL,41,9,9,39,0.67744422,0.816326531,0.314790308,0.295150936,0,0,0
DELEGADO ÉDER MAURO,22,Pará,PSD,320,71,52,239,0.661923349,0.819648094,0.269666165,-0.224796504,0,0,0
DELEY,298,Rio de Janeiro,PTB,240,81,80,234,0.539663672,0.746456693,0.097305767,0.294561148,0,0,0
DEOCLIDES MACEDO,543,Maranhão,PDT,41,13,26,101,0.670802712,0.784530387,-0.173615128,0.432976991,0,0,0
DIEGO ANDRADE,228,Minas Gerais,PSD,271,20,30,215,0.788619995,0.906716418,0.338385195,-0.577326238,0,0,0
DIEGO GARCIA,447,Paraná,PHS,269,59,48,216,0.683664322,0.819256757,0.132617697,-0.176043838,0,0,0
DIEGO GARCIA,447,Paraná,Podemos,42,12,8,43,0.656222045,0.80952381,0.129029855,-0.175050184,0,0,0
DIEGO GARCIA,447,Paraná,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DILCEU SPERAFICO,444,Paraná,PP,337,27,19,261,0.809187055,0.928571429,0.362413526,-0.594947815,0,0,0
DIMAS FABIANO,231,Minas Gerais,PP,303,62,64,248,0.661382437,0.813884786,0.314487934,0.082595661,0,0,0
DOMINGOS NETO,97,Ceará,PMB,9,1,1,9,0.850974143,0.9,-0.122672297,-0.381538659,0,0,0
DOMINGOS NETO,97,Ceará,PROS,95,11,10,53,0.737903178,0.875739645,-0.090054125,-0.619354725,0,0,0
DOMINGOS NETO,97,Ceará,PSD,144,4,10,107,0.859495699,0.947169811,0.560427606,-0.380411744,0,0,0
DOMINGOS SÁVIO,233,Minas Gerais,PSDB,319,17,16,273,0.845240235,0.9472,0.827863336,0.460063934,0,0,0
DONIZETI NOGUEIRA,947,Tocantins,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOUGLAS CINTRA,911,Pernambuco,PTB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DR. JORGE SILVA,278,Espírito Santo,PHS,161,31,31,169,0.713567555,0.841836735,0.07724236,0.067203797,0,0,0
DR. JORGE SILVA,278,Espírito Santo,PROS,130,21,24,102,0.665621459,0.837545126,-0.100597091,0.040867224,0,0,0
DR. JORGE SILVA,278,Espírito Santo,Solidaried,46,8,3,49,0.755758524,0.896226415,0.194649801,0.050589118,0,0,0
DR. JOÃO,299,Rio de Janeiro,PR,213,28,24,147,0.749904752,0.873786408,0.254531026,-0.386042953,0,0,0
DR. SINVAL MALHEIROS,351,São Paulo,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DR. SINVAL MALHEIROS,351,São Paulo,PODE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DR. SINVAL MALHEIROS,351,São Paulo,PTN,123,10,13,82,0.786871195,0.899122807,0.215177774,-0.229830742,0,0,0
DR. SINVAL MALHEIROS,351,São Paulo,PV,70,28,30,52,0.547591388,0.677777778,0.414476484,0.112640269,0,0,0
DR. SINVAL MALHEIROS,351,São Paulo,Podemos,67,4,4,55,0.818573415,0.938461538,0.611626565,-0.233619258,0,0,0
DUARTE NOGUEIRA,350,São Paulo,PSDB,50,5,2,39,0.813239157,0.927083333,0.563329518,0.751497686,0,0,0
DULCE MIRANDA,61,Tocantins,MDB,8,4,1,19,0.769675612,0.84375,0.275073379,0.278553635,0,0,0
DULCE MIRANDA,61,Tocantins,PMDB,315,26,19,205,0.802752614,0.920353982,0.265301496,-0.519765556,0,0,0
DÁRIO BERGER,928,Santa Catarina,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DÁRIO BERGER,928,Santa Catarina,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DÂMINA PEREIRA,227,Minas Gerais,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DÂMINA PEREIRA,227,Minas Gerais,PMN,116,28,32,57,0.574319422,0.74248927,0.361815453,-0.121711828,0,0,0
DÂMINA PEREIRA,227,Minas Gerais,PSL,175,18,15,149,0.809391499,0.907563025,0.305491209,-0.157945678,0,0,0
DÂMINA PEREIRA,227,Minas Gerais,Podemos,40,10,5,43,0.693037808,0.846938776,0.087372459,-0.335292608,0,0,0
DÉCIO LIMA,475,Santa Catarina,PT,204,11,13,358,0.855603337,0.959044369,-0.566210985,0.048113678,0,0,0
EDINHO ARAÚJO,344,São Paulo,PMDB,134,9,14,105,0.793344855,0.91221374,0.252323627,-0.429327786,0,0,0
EDINHO BEZ,532,Santa Catarina,PMDB,204,20,25,127,0.745298564,0.880319149,0.224221364,-0.512157023,0,0,0
EDIO LOPES,2,Roraima,PMDB,131,14,7,85,0.778843105,0.911392405,0.245571852,-0.937698543,0,0,0
EDIO LOPES,2,Roraima,PR,171,12,6,126,0.85471344,0.942857143,0.471639484,-0.402800649,0,0,0
EDISON LOBÃO,806,Maranhão,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDISON LOBÃO,806,Maranhão,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDMAR ARRUDA,446,Paraná,PRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDMAR ARRUDA,446,Paraná,PSC,48,19,25,47,0.551082373,0.683453237,0.524952471,-0.056923047,0,0,0
EDMAR ARRUDA,446,Paraná,PSD,145,20,14,135,0.746147454,0.891719745,0.531159103,-0.020483484,0,0,0
EDMILSON RODRIGUES,27,Pará,PSOL,190,56,35,463,0.755874455,0.877688172,-0.379053295,0.925374806,0,0,0
EDUARDO  BRAGA,802,Amazonas,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDUARDO  BRAGA,802,Amazonas,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDUARDO AMORIM,830,Sergipe,PSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDUARDO AMORIM,830,Sergipe,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDUARDO BARBOSA,230,Minas Gerais,PSDB,358,30,33,349,0.788057089,0.918181818,0.68555367,0.728021979,0,0,0
EDUARDO BOLSONARO,352,São Paulo,PSC,244,76,72,252,0.61082083,0.770186335,0.517270744,0.855821908,0,0,0
EDUARDO BOLSONARO,352,São Paulo,PSL,47,4,2,47,0.825321615,0.94,0.427429765,0.212743938,0,0,0
EDUARDO CUNHA,300,Rio de Janeiro,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDUARDO CURY,353,São Paulo,PSDB,338,46,26,327,0.800411642,0.902306649,0.860609353,0.509265721,0,0,0
EDUARDO DA FONTE,156,Pernambuco,PP,241,19,12,144,0.811838567,0.925480769,0.30016166,-0.690080285,0,0,0
EDUARDO LOPES,930,Rio de Janeiro,PRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFRAIM FILHO,128,Paraíba,DEM,309,29,22,252,0.80763185,0.916666667,0.780197561,0.266921014,0,0,0
ELBER BATALHA,912,Sergipe,PSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELCIONE BARBALHO,21,Pará,MDB,10,0,0,11,0.935777307,1,0.737000763,0.143571347,0,0,0
ELCIONE BARBALHO,21,Pará,PMDB,190,21,12,157,0.76955539,0.913157895,0.218959108,-0.796758175,0,0,0
ELI CORREA FILHO,345,São Paulo,DEM,12,1,2,19,0.761621892,0.911764706,0.756111622,0.604682207,0,0,0
ELI CORRÊA FILHO,345,São Paulo,DEM,118,15,12,109,0.752208471,0.893700787,0.750312448,0.063045867,0,0,0
ELI CÔRREA FILHO,345,São Paulo,DEM,15,1,1,11,0.860330343,0.928571429,0.962867737,0.259364307,0,0,0
ELIZEU DIONIZIO,538,Mato Grosso do Sul,PSB,6,1,3,10,0.66479969,0.8,-0.211987168,0.230430305,0,0,0
ELIZEU DIONIZIO,538,Mato Grosso do Sul,PSDB,105,10,13,121,0.794529736,0.907630522,0.490405679,0.36386016,0,0,0
ELIZEU DIONIZIO,538,Mato Grosso do Sul,Solidaried,85,18,7,57,0.670738757,0.850299401,0.458379209,-0.284908146,0,0,0
ELIZIANE GAMA,73,Maranhão,PPS,233,32,71,239,0.599398315,0.820869565,0.235022441,0.805772841,0,0,0
ELIZIANE GAMA,73,Maranhão,REDE,11,5,1,44,0.727775395,0.901639344,0.39294517,0.919561923,0,0,0
ELMANO FÉRRER,810,Piauí,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELMANO FÉRRER,810,Piauí,PTB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELMANO FÉRRER,810,Piauí,Podemos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELMAR NASCIMENTO,198,Bahia,DEM,270,30,23,223,0.777436078,0.902930403,0.791044593,-0.009761039,0,0,0
ENIO VERRI,449,Paraná,PT,271,12,9,453,0.862696171,0.971812081,-0.595394075,-0.043796197,0,0,0
ERIKA KOKAY,407,Distrito Federal,PT,227,29,23,413,0.814061224,0.924855491,-0.674166977,0.412691921,0,0,0
ERIVELTON SANTANA,194,Bahia,PEN,191,20,12,126,0.792239547,0.908309456,0.413470089,-0.19109486,0,0,0
ERIVELTON SANTANA,194,Bahia,PSC,106,19,25,92,0.641781569,0.818181818,0.547576308,0.006329367,0,0,0
ERIVELTON SANTANA,194,Bahia,Patriota,15,1,0,23,0.876788139,0.974358974,0.478167236,0.180874452,0,0,0
ERON BEZERRA,618,Amazonas,PCdoB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EROS BIONDINI,242,Minas Gerais,PROS,144,35,32,133,0.652201176,0.805232558,0.087575875,-0.348373532,0,0,0
EROS BIONDINI,242,Minas Gerais,PTB,99,30,14,84,0.639600337,0.806167401,0.328272194,0.006900925,0,0,0
ESPERIDIÃO AMIN,471,Santa Catarina,PP,290,81,79,314,0.603024781,0.790575916,0.295151323,0.476422846,0,0,0
EUNÍCIO OLIVEIRA,826,Ceará,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUNÍCIO OLIVEIRA,826,Ceará,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EURICELIA CARDOSO,614,Amapá,PP,12,0,2,13,0.741771221,0.925925926,0.450196117,-0.576327205,0,0,0
EVAIR DE MELO,274,Espírito Santo,PV,138,38,39,98,0.637879193,0.75399361,0.522494256,-0.074990414,0,0,0
EVAIR VIEIRA DE MELO,274,Espírito Santo,PP,49,2,2,48,0.883487701,0.96039604,0.58104527,0.166993991,0,0,0
EVAIR VIEIRA DE MELO,274,Espírito Santo,PV,134,24,29,146,0.669520438,0.840840841,0.240706921,0.211188704,0,0,0
EVANDRO GUSSI,354,São Paulo,PV,218,43,43,188,0.669974864,0.825203252,0.54667604,0.155680314,0,0,0
EVANDRO ROGERIO ROMAN,452,Paraná,PSD,43,7,4,19,0.692419708,0.849315068,0.172484159,-0.393968344,0,0,0
EVANDRO ROMAN,452,Paraná,PSD,268,31,17,226,0.784267008,0.911439114,0.386101961,-0.310842216,0,0,0
EXPEDITO NETTO,44,Rondonia,PSD,130,52,79,129,0.489249438,0.664102564,-0.161092654,-0.457654148,0,0,0
EXPEDITO NETTO,44,Rondonia,Solidaried,100,16,17,96,0.725350142,0.855895197,0.692599237,0.214375168,0,0,0
EZEQUIEL FONSECA,402,Mato Grosso,PP,312,31,27,234,0.777760148,0.90397351,0.345203459,-0.371714681,0,0,0
EZEQUIEL TEIXEIRA,303,Rio de Janeiro,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZEQUIEL TEIXEIRA,303,Rio de Janeiro,PODE,17,2,0,10,0.886417985,0.931034483,0.318337739,0.052434344,0,0,0
EZEQUIEL TEIXEIRA,303,Rio de Janeiro,PTN,76,9,10,65,0.716756403,0.88125,0.156513289,-0.20587717,0,0,0
EZEQUIEL TEIXEIRA,303,Rio de Janeiro,Podemos,61,8,7,64,0.768883169,0.892857143,0.500736654,-0.486989617,0,0,0
EZEQUIEL TEIXEIRA,303,Rio de Janeiro,Solidaried,97,11,9,85,0.782481909,0.900990099,0.845579505,0.206504107,0,0,0
FABIANO HORTA,309,Rio de Janeiro,PT,88,2,0,140,0.901486754,0.991304348,-0.69344455,-0.166362762,0,0,0
FABIO GARCIA,403,Mato Grosso,DEM,38,1,0,38,0.941344917,0.987012987,0.614197552,0.011832695,0,0,0
FABIO GARCIA,403,Mato Grosso,PSB,251,25,36,185,0.745888293,0.877263581,0.539270997,0.063817032,0,0,0
FABIO GARCIA,403,Mato Grosso,S.Part.,13,0,0,9,0.918779075,1,0.597024739,-0.802222848,0,0,0
FABIO REIS,178,Sergipe,MDB,19,1,2,26,0.814234555,0.9375,0.587417841,0.226375476,0,0,0
FABIO REIS,178,Sergipe,PMDB,310,24,14,226,0.826698184,0.933797909,0.305855602,-0.596536398,0,0,0
FABRICIO OLIVEIRA,552,Santa Catarina,PSB,42,6,6,21,0.716022551,0.84,0.509545445,0.500112355,0,0,0
FAUSTO PINATO,355,São Paulo,PP,182,7,6,130,0.860298395,0.96,0.567971468,-0.432829201,0,0,0
FAUSTO PINATO,355,São Paulo,PRB,107,30,16,73,0.646960258,0.796460177,0.081841782,-0.3098405,0,0,0
FELIPE BORNIER,301,Rio de Janeiro,PROS,138,23,14,145,0.784142673,0.884375,0.369279951,0.057436544,0,0,0
FELIPE BORNIER,301,Rio de Janeiro,PSD,109,24,29,64,0.619215846,0.765486726,0.405721337,-0.061751854,0,0,0
FELIPE CARRERAS,145,Pernambuco,PSB,18,4,8,45,0.675408423,0.84,-0.238678783,-0.06004937,0,0,0
FELIPE MAIA,120,Rio Grande do Norte,DEM,330,22,17,284,0.856771171,0.940275651,0.824433923,0.132580742,0,0,0
FERNANDO BEZERRA COELHO,822,Pernambuco,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERNANDO BEZERRA COELHO,822,Pernambuco,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERNANDO BEZERRA COELHO,822,Pernambuco,PSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERNANDO COELHO FILHO,158,Pernambuco,DEM,38,1,1,39,0.937330842,0.974683544,0.710804522,0.016450498,0,0,0
FERNANDO COELHO FILHO,158,Pernambuco,PSB,118,24,26,114,0.687464654,0.822695035,0.462634683,0.206882969,0,0,0
FERNANDO COELHO FILHO,158,Pernambuco,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERNANDO COLLOR,927,Alagoas,PTB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERNANDO COLLOR,927,Alagoas,PTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERNANDO FRANCISCHINI,450,Paraná,Solidaried,132,10,8,103,0.799911976,0.928853755,0.87507534,0.142731473,0,0,0
FERNANDO JORDÃO,310,Rio de Janeiro,PMDB,184,19,17,110,0.752972901,0.890909091,0.255706668,-0.413012952,0,0,0
FERNANDO MARRONI,534,Rio Grande do Sul,PT,97,4,2,97,0.87560302,0.97,-0.768493712,-0.219956666,0,0,0
FERNANDO MONTEIRO,529,Pernambuco,PP,304,11,18,226,0.847221792,0.948121646,0.392270118,-0.919850111,0,0,0
FERNANDO RIBEIRO,897,Pará,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERNANDO TORRES,523,Bahia,PSD,145,33,49,109,0.620713532,0.755952381,-0.089792714,-0.343778878,0,0,0
FLAVIANO MELO,54,Acre,MDB,14,1,1,17,0.841220737,0.939393939,0.433464259,0.046901587,0,0,0
FLAVIANO MELO,54,Acre,PMDB,244,18,10,187,0.814743519,0.938997821,0.332005262,-0.502118886,0,0,0
FLAVINHO,357,São Paulo,PSB,218,70,118,291,0.565075099,0.730272597,0.145417199,0.989370406,0,0,0
FLAVINHO,357,São Paulo,PSC,37,7,22,51,0.642376006,0.752136752,-0.620490849,-0.784213722,0,0,0
FLAVIO NOGUEIRA,556,Piauí,PDT,42,1,2,26,0.875395358,0.957746479,-0.558126688,-0.168301448,0,0,0
FLEXA RIBEIRO,935,Pará,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLORIANO PESARO,358,São Paulo,PSDB,52,7,1,52,0.824577332,0.928571429,0.818567455,0.574410498,0,0,0
FLÁVIA MORAIS,422,Goiás,PDT,204,24,61,303,0.72143364,0.856418919,-0.186382696,0.32659173,0,0,0
FRANCISCO CHAPADINHA,28,Pará,PODE,11,0,0,10,0.976576507,1,0.649627507,-0.421257228,0,0,0
FRANCISCO CHAPADINHA,28,Pará,PSD,117,23,17,75,0.680819452,0.827586207,0.20833911,-0.159913391,0,0,0
FRANCISCO CHAPADINHA,28,Pará,PTN,117,4,9,102,0.852973521,0.943965517,0.344607532,-0.603542566,0,0,0
FRANCISCO CHAPADINHA,28,Pará,Podemos,65,3,9,59,0.786036432,0.911764706,0.600878835,-0.02218508,0,0,0
FRANCISCO FLORIANO,297,Rio de Janeiro,DEM,156,20,11,129,0.79273963,0.901898734,0.397286117,-0.031732801,0,0,0
FRANCISCO FLORIANO,297,Rio de Janeiro,PR,111,16,13,66,0.719501376,0.859223301,0.183883697,-0.297322869,0,0,0
FRANKLIN,544,Minas Gerais,PP,82,3,1,61,0.891549647,0.972789116,0.5918172,-0.806072235,0,0,0
FRANKLIN LIMA,544,Minas Gerais,PP,104,4,6,84,0.860304892,0.949494949,0.395016938,-0.718215168,0,0,0
FRANKLIN LIMA,544,Minas Gerais,PTdoB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FREIRE JÚNIOR,615,Tocantins,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FREITAS DO PT,617,Tocantins,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FÁBIO FARIA,119,Rio Grande do Norte,PSD,253,15,17,172,0.813679814,0.929978118,0.356914014,-0.626359284,0,0,0
FÁBIO MITIDIERI,177,Sergipe,PSD,238,58,57,203,0.625053167,0.793165468,0.109593436,-0.099662162,0,0,0
FÁBIO RAMALHO,238,Minas Gerais,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FÁBIO RAMALHO,238,Minas Gerais,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FÁBIO RAMALHO,238,Minas Gerais,PMDB,121,4,0,86,0.923050523,0.981042654,0.584239423,-0.639754653,0,0,0
FÁBIO RAMALHO,238,Minas Gerais,PV,98,23,21,65,0.6343171,0.787439614,-0.003790471,-0.280055314,0,0,0
FÁBIO SOUSA,426,Goiás,PSDB,280,34,32,286,0.762768626,0.89556962,0.726533532,0.687130988,0,0,0
FÁBIO TRAD,608,Mato Grosso do Sul,PSD,64,5,9,62,0.776179075,0.9,0.895588756,0.444882751,0,0,0
FÁTIMA BEZERRA,816,Rio Grande do Norte,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FÉLIX MENDONÇA JÚNIOR,195,Bahia,PDT,241,56,72,326,0.660838962,0.815827338,-0.127227202,0.3013044,0,0,0
GABRIEL GUIMARÃES,244,Minas Gerais,PT,192,8,8,266,0.850212932,0.966244726,-0.602789879,-0.12603794,0,0,0
GARIBALDI ALVES FILHO,817,Rio Grande do Norte,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GARIBALDI ALVES FILHO,817,Rio Grande do Norte,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GENECIAS NORONHA,99,Ceará,Solidaried,147,14,14,138,0.775247693,0.910543131,0.676677465,-0.057491329,0,0,0
GEORGE HILTON,241,Minas Gerais,PROS,25,12,13,26,0.477791846,0.671052632,-0.061850186,-0.179869309,0,0,0
GEORGE HILTON,241,Minas Gerais,PSB,54,18,25,38,0.547230482,0.681481481,-0.171604514,-0.596235275,0,0,0
GEORGE HILTON,241,Minas Gerais,PSC,40,3,3,28,0.783574224,0.918918919,0.155114546,-0.180727214,0,0,0
GEOVANIA DE SÁ,482,Santa Catarina,PSDB,318,37,29,335,0.76114738,0.908205841,0.649145961,0.760663867,0,0,0
